,Name,Latitude,Longitude,Rating,Address
0,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
1,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
2,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
3,Ask Ariel Your Pet Nutritionist,33.6590775,-117.6991694,4.9,"1 S Pointe Dr, Lake Forest"
4,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
5,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
6,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
7,Perris Valley Veterinary Clinic,33.8160097,-117.2286809,3.8,"2560 N Perris Blvd, Perris"
8,Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco"
9,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach"
10,PetStore.com,33.7556944,-117.9392341,3.4,"14271 Corporate Dr, Garden Grove"
11,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
12,Kahoots Feed & Pet Store,33.8820704,-117.3686806,4.5,"16851 Van Buren Boulevard, Riverside"
13,Kahoots Pet Store,33.1770658,-117.3249001,4.6,"2616 El Camino Real, Carlsbad"
14,Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills"
15,Kahoots Pet Store,33.372436,-117.252433,4.4,"1101 S Main Ave B, Fallbrook"
16,Kahoots Feed & Pet Store,33.9380668,-117.5437274,4.7,"1004 Sixth St, Norco"
17,Kahoots Feed & Pet Store,33.5542378,-117.2074987,4.7,"41711 Ivy St, Murrieta"
18,Pets Plus,33.497631,-117.66222,4.5,"32022 Camino Capistrano, San Juan Capistrano"
19,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
20,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
21,Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach"
22,Paw In Order,33.8021939,-117.8590025,4.9,"618 W Collins Ave, Orange"
23,PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach"
24,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
25,Catherine's Pet Services,33.6370118,-117.8594386,0.0,"9413 Residencia, Newport Beach"
26,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
27,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
28,Grand Pet Care Center,33.759041,-117.852221,4.6,"1602 N Grand Ave, Santa Ana"
29,Healthy Pet Hospital and Grooming,33.788944,-117.816866,4.5,"3411 E Chapman Ave, Orange"
30,Pacific Park Animal Hospital,33.567919,-117.70926,4.4,"27261 La Paz Rd H, Laguna Niguel"
31,Perris Valley Veterinary Clinic,33.8160097,-117.2286809,3.8,"2560 N Perris Blvd, Perris"
32,Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco"
33,PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach"
34,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
35,Peek-A-Dog Pet Grooming Adoptions,33.9591913,-118.2113411,4.4,"8452 State St, South Gate"
36,MG Planet Pet Grooming,33.9909164,-117.8899766,4.6,"1457 Nogales St, Rowland Heights"
37,Mike's Pet Store and pet grooming,33.974553,-118.2532615,3.7,"1224 Florence St, Los Angeles"
38,Pets & Grooming,33.9532045,-118.130807,4.5,"7952 Florence Ave, Downey"
39,Kriser's Natural Pet,33.6717269,-117.7894796,4.4,"Alton Square, 5365 Alton Pkwy, Irvine"
40,PETIAN,33.87063,-117.939096,4.8,"749 W Commonwealth Ave, Fullerton"
41,Mr. Bulldog,33.997736,-118.0770156,3.7,"9432 Whittier Blvd, Pico Rivera"
42,Pet Shop & Grooming,33.8640678,-117.5424961,0.0,Corona
43,Coast Pet Supplies & Grooming,33.5473156,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach"
44,Pussy & Pooch Pethouse and Pawbar,33.761255,-118.1376665,4.2,"4818 E 2nd St, Long Beach"
45,Local Pet Market,33.687393,-117.988492,4.9,"18900 Beach Blvd #109, Huntington Beach"
46,PJ's Pet Cafe,33.775092,-118.1520865,4.0,"3412 E 7th St Suite A, Long Beach"
47,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
48,Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach"
49,Just Food For Dogs,33.635517,-117.9233335,4.7,"103 E 17th St, Costa Mesa"
50,Kriser's Natural Pet,33.62841,-117.906317,4.4,"1044 Irvine Ave, Newport Beach"
51,Pet Supply,33.65131,-117.9549833,4.8,"21425 Brookhurst St, Huntington Beach"
52,AGE OF AQUARIUMS,33.8051375,-118.1672737,4.5,"2642 Cherry Ave, Signal Hill"
53,Pet Pantry,33.8082084,-118.168066,4.7,"2801 Cherry Ave, Signal Hill"
54,Feed Barn,33.4665131,-117.6769224,4.8,"34192 Doheny Park Rd, Capistrano Beach"
55,Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach"
56,Katie’s PET DEPOT®,34.115389,-117.766999,4.5,"1941 Foothill Blvd a, La Verne"
57,Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo"
58,PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach"
59,AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona"
