Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0400000US01,1,Alabama,453910,Pet and pet supplies stores,2016,85,1125,4642,20409
0400000US02,2,Alaska,453910,Pet and pet supplies stores,2016,21,256,1798,8025
0400000US04,4,Arizona,453910,Pet and pet supplies stores,2016,239,3418,14905,66872
0400000US05,5,Arkansas,453910,Pet and pet supplies stores,2016,53,477,2139,9678
0400000US06,6,California,453910,Pet and pet supplies stores,2016,1255,15737,79979,358846
0400000US08,8,Colorado,453910,Pet and pet supplies stores,2016,266,2908,14600,65342
0400000US09,9,Connecticut,453910,Pet and pet supplies stores,2016,160,1741,8371,37017
0400000US10,10,Delaware,453910,Pet and pet supplies stores,2016,57,498,1969,9226
0400000US11,11,District of Columbia,453910,Pet and pet supplies stores,2016,19,125,621,3086
0400000US12,12,Florida,453910,Pet and pet supplies stores,2016,796,7934,36517,159109
0400000US13,13,Georgia,453910,Pet and pet supplies stores,2016,230,3126,13011,59122
0400000US15,15,Hawaii,453910,Pet and pet supplies stores,2016,33,376,2044,9114
0400000US16,16,Idaho,453910,Pet and pet supplies stores,2016,44,473,2168,9993
0400000US17,17,Illinois,453910,Pet and pet supplies stores,2016,368,5124,22507,99797
0400000US18,18,Indiana,453910,Pet and pet supplies stores,2016,166,2340,9639,41497
0400000US19,19,Iowa,453910,Pet and pet supplies stores,2016,68,805,3204,14720
0400000US20,20,Kansas,453910,Pet and pet supplies stores,2016,79,1018,4333,19063
0400000US21,21,Kentucky,453910,Pet and pet supplies stores,2016,94,1141,4081,18476
0400000US22,22,Louisiana,453910,Pet and pet supplies stores,2016,77,967,4404,20342
0400000US23,23,Maine,453910,Pet and pet supplies stores,2016,59,441,1965,8985
0400000US24,24,Maryland,453910,Pet and pet supplies stores,2016,177,2370,10435,47816
0400000US25,25,Massachusetts,453910,Pet and pet supplies stores,2016,224,2801,14270,63583
0400000US26,26,Michigan,453910,Pet and pet supplies stores,2016,272,3494,15369,70316
0400000US27,27,Minnesota,453910,Pet and pet supplies stores,2016,148,1939,10223,44934
0400000US28,28,Mississippi,453910,Pet and pet supplies stores,2016,46,507,2155,9561
0400000US29,29,Missouri,453910,Pet and pet supplies stores,2016,158,2028,8627,39995
0400000US30,30,Montana,453910,Pet and pet supplies stores,2016,24,341,1547,7402
0400000US31,31,Nebraska,453910,Pet and pet supplies stores,2016,43,535,2236,10146
0400000US32,32,Nevada,453910,Pet and pet supplies stores,2016,76,1184,5539,24917
0400000US33,33,New Hampshire,453910,Pet and pet supplies stores,2016,70,781,3532,16940
0400000US34,34,New Jersey,453910,Pet and pet supplies stores,2016,320,3792,16633,74762
0400000US35,35,New Mexico,453910,Pet and pet supplies stores,2016,61,646,3111,14037
0400000US36,36,New York,453910,Pet and pet supplies stores,2016,713,6427,28858,128778
0400000US37,37,North Carolina,453910,Pet and pet supplies stores,2016,264,3500,14354,64555
0400000US38,38,North Dakota,453910,Pet and pet supplies stores,2016,20,229,1155,5476
0400000US39,39,Ohio,453910,Pet and pet supplies stores,2016,365,4433,16197,76219
0400000US40,40,Oklahoma,453910,Pet and pet supplies stores,2016,86,1018,4685,20450
0400000US41,41,Oregon,453910,Pet and pet supplies stores,2016,182,1878,9194,41428
0400000US42,42,Pennsylvania,453910,Pet and pet supplies stores,2016,433,5398,20676,93915
0400000US44,44,Rhode Island,453910,Pet and pet supplies stores,2016,44,393,1748,8192
0400000US45,45,South Carolina,453910,Pet and pet supplies stores,2016,125,1479,6016,27216
0400000US46,46,South Dakota,453910,Pet and pet supplies stores,2016,18,165,707,3593
0400000US47,47,Tennessee,453910,Pet and pet supplies stores,2016,165,1970,8808,43435
0400000US48,48,Texas,453910,Pet and pet supplies stores,2016,653,9009,41446,189721
0400000US49,49,Utah,453910,Pet and pet supplies stores,2016,67,917,3889,17487
0400000US50,50,Vermont,453910,Pet and pet supplies stores,2016,24,192,1150,5231
0400000US51,51,Virginia,453910,Pet and pet supplies stores,2016,282,3621,15735,71238
0400000US53,53,Washington,453910,Pet and pet supplies stores,2016,306,3168,16668,76204
0400000US54,54,West Virginia,453910,Pet and pet supplies stores,2016,29,328,1231,5698
0400000US55,55,Wisconsin,453910,Pet and pet supplies stores,2016,167,2486,11670,54890
0400000US56,56,Wyoming,453910,Pet and pet supplies stores,2016,20,156,663,2981
