Name,Latitude,Longitude,Rating,Address,City
Petco,33.5889354,-117.6734601,4.2,"25592 El Paseo, Mission Viejo",Mission Viejo
PetSmart,33.6719934,-117.9533672,4.7,"20002 Brookhurst St, Huntington Beach",Huntington Beach
AAA Animal Hospital,33.8752364,-117.5615939,4.6,"425 E 6th St, Corona",Corona
Healthy Pet Hospital and Grooming,33.788944,-117.81686599999999,4.5,"3411 E Chapman Ave, Orange",Orange
Grand Pet Care Center,33.759040999999996,-117.852221,4.6,"1602 N Grand Ave, Santa Ana",Santa Ana
Pacific Park Animal Hospital,33.567919,-117.70926000000001,4.4,"27261 La Paz Rd H, Laguna Niguel",Laguna Niguel
Perris Valley Veterinary Clinic,33.8160097,-117.22868090000001,3.8,"2560 N Perris Blvd, Perris",Perris
Animal & Bird Veterinary Medical Center,33.926549,-117.557576,3.2,"3119 Hamner Ave, Norco",Norco
Pet Supplies Plus,33.728658,-118.025502,4.6,"5912 Edinger Ave, Huntington Beach",Huntington Beach
PetStore.com,33.755694399999996,-117.93923410000001,3.4,"14271 Corporate Dr, Garden Grove",Garden Grove
Kahoots Pet Store,33.6923715,-117.9924774,4.2,"18681 Main St, Huntington Beach",Huntington Beach
Kahoots Pet Store,33.9856908,-117.7138885,4.7,"4200 Chino Hills Pkwy, Chino Hills",Chino Hills
Kahoots Feed & Pet Store,33.882070399999996,-117.36868059999999,4.5,"16851 Van Buren Boulevard, Riverside",Riverside
Kahoots Feed & Pet Store,33.938066799999994,-117.5437274,4.7,"1004 Sixth St, Norco",Norco
Pets Plus,33.497631,-117.66221999999999,4.5,"32022 Camino Capistrano, San Juan Capistrano",San Juan Capistrano
Kahoots Pet Store,33.1770658,-117.3249001,4.6,"2616 El Camino Real, Carlsbad",Carlsbad
Kahoots Feed & Pet Store,33.5542378,-117.2074987,4.7,"41711 Ivy St, Murrieta",Murrieta
Pier K9 Pet Shop,33.188113,-117.37378500000001,4.8,"403 Wisconsin Ave ste c, Oceanside",Oceanside
Zoom Room Dog Training,33.685642,-117.9904309,4.6,"19069 Beach Blvd, Huntington Beach",Huntington Beach
Paw In Order,33.8021939,-117.85900249999999,4.9,"618 W Collins Ave, Orange",Orange
PetSmart,33.829203,-118.144255,4.6,"3871 N Lakewood Blvd, Long Beach",Long Beach
Catherine's Pet Services,33.637011799999996,-117.85943859999999,0.0,"9413 Residencia, Newport Beach",Newport Beach
Coast Pet Supplies & Grooming,33.547315600000005,-117.7964092,5.0,"880 N Coast Hwy, Laguna Beach",Laguna Beach
Peek-A-Dog Pet Grooming Adoptions,33.95919129999999,-118.21134109999998,4.4,"8452 State St, South Gate",South Gate
Mike's Pet Store and pet grooming,33.974553,-118.2532615,3.7,"1224 Florence St, Los Angeles",Los Angeles
